OK Endpoint Times (ns);
100684;
36055;
10130;
9074;
9926;
9333;
9037;
9741;
9648;
9240;
9667;
10166;
8962;
9000;
9278;
9315;
9537;
9945;
9796;
9407;
9093;
9370;
9371;
9426;
8814;
9388;
8796;
9314;
9185;
8981;
8944;
9667;
8796;
8852;
9723;
12778;
8908;
9018;
9037;
8851;
9167;
8945;
9185;
9537;
8907;
8500;
8982;
9056;
9981;
8426;
8704;
10500;
9222;
8778;
10314;
8889;
9537;
9000;
8962;
8703;
9740;
26091;
8851;
9000;
9351;
9111;
8833;
8999;
9129;
8407;
9314;
9722;
8499;
8648;
8870;
8944;
9630;
9055;
9351;
8277;
9148;
9370;
9333;
9259;
11611;
9093;
9222;
8944;
9222;
17296;
9629;
8944;
9740;
8999;
9963;
9277;
9537;
10481;
9407;
9093;
9666;
31278;
