Factorial Iterative Times (ns);
30185;
27963;
30630;
28444;
28574;
33444;
27722;
27778;
28388;
28352;
29685;
28129;
28222;
28333;
28926;
28056;
28777;
29593;
25981;
27518;
94370;
27944;
28518;
28407;
27592;
27666;
27555;
27870;
27870;
28130;
27203;
26759;
27352;
28185;
28685;
28333;
28092;
27610;
27926;
27759;
27259;
29388;
27500;
27870;
27333;
27851;
29092;
29111;
28333;
27647;
28796;
27610;
27110;
28981;
29184;
28184;
29647;
28370;
50017;
27666;
28295;
28425;
27758;
28555;
27444;
27499;
28036;
27054;
27759;
28481;
27851;
27629;
28907;
26943;
28647;
29443;
28481;
27648;
81461;
27944;
27703;
45610;
28351;
52832;
27296;
28684;
27684;
27666;
36147;
27648;
29351;
27259;
28758;
51703;
29555;
28555;
29610;
28963;
28240;
27832;
