String Permutation Times (ns);
85782903;
117646262;
67488675;
67492229;
68130593;
67314601;
67472617;
69560128;
67710557;
67807630;
67023842;
67722092;
67421707;
67539427;
67615647;
71575599;
67238003;
67161800;
68591523;
67276853;
82362837;
67500109;
68544502;
69007701;
67017299;
67209259;
67148481;
67769695;
67490161;
67538716;
70298608;
69892224;
66695670;
66860982;
67130404;
66948943;
73043461;
67506862;
69456930;
68923232;
84908574;
66737925;
66799017;
66139358;
119250652;
67294769;
66855811;
69143061;
66730201;
66335113;
66418641;
67385865;
66409557;
67197985;
66322637;
69347963;
66688763;
67311511;
66714523;
66396656;
102642059;
88128938;
88188206;
86943147;
85913341;
66615847;
69716731;
66557279;
69864505;
67080800;
66432996;
67103470;
66597458;
70551650;
66940355;
66972753;
67122241;
66769149;
67654265;
66741093;
66643717;
168379601;
84232876;
82682837;
87411853;
84051839;
66669676;
66593632;
67237791;
66398951;
69754373;
66373154;
66329236;
66838360;
66336104;
66378034;
66366949;
66331644;
67739728;
66398584;
