Read File Times (ns);
1211556;
944760;
918371;
881092;
859407;
878018;
1477666;
934852;
867352;
887611;
876260;
879000;
873741;
881167;
877018;
874482;
910907;
878593;
886500;
997926;
931352;
874704;
884537;
875018;
1001334;
984685;
883741;
884204;
872019;
878814;
886445;
871297;
1063017;
868352;
874704;
1377574;
872129;
867167;
879593;
873981;
926926;
234875649;
887981;
860055;
875944;
859722;
874370;
871722;
873889;
873389;
878296;
862537;
872334;
858371;
1389537;
898833;
873815;
917982;
883852;
854834;
871129;
863833;
869092;
873092;
859056;
923519;
867666;
862370;
873092;
867074;
877444;
873926;
874777;
879537;
938815;
1484185;
866629;
880092;
923092;
896926;
862797;
866074;
876111;
919500;
869389;
932759;
871926;
872481;
945703;
240532611;
923667;
922315;
871852;
927166;
1263889;
907371;
1413519;
876407;
872630;
858259;
