Factorial Recursive Times (ns);
935574;
792370;
787778;
794796;
791741;
789889;
805444;
804259;
803741;
793945;
833889;
840889;
800519;
840518;
820352;
798148;
844055;
801278;
794037;
801667;
795722;
801204;
793093;
791648;
859166;
795574;
807741;
832926;
798148;
803241;
801814;
794445;
828519;
793000;
787574;
835481;
804852;
795963;
803852;
786574;
1379833;
794519;
1426945;
778240;
797611;
803370;
786056;
803685;
799537;
790870;
794204;
788556;
794426;
799167;
797851;
795555;
800037;
785722;
794945;
791333;
1165797;
791370;
784093;
796945;
783370;
786944;
786223;
791000;
789370;
783204;
792870;
790963;
1182204;
830129;
781111;
966537;
792407;
830630;
780037;
1518019;
935167;
790407;
832407;
788482;
793241;
783982;
792315;
1058000;
797315;
783666;
790130;
841945;
788871;
789592;
783630;
807037;
784981;
785852;
785926;
794685;
