OK Endpoint Times (ns);
1262222;
643611;
1052223;
653445;
640204;
641389;
650444;
643241;
647556;
704167;
648037;
642018;
643426;
736981;
646889;
647277;
688592;
645407;
691278;
647723;
647389;
651981;
642222;
648537;
640223;
647759;
647593;
643648;
648092;
648037;
647074;
644611;
710500;
644000;
641741;
643314;
651352;
641222;
692408;
644629;
649167;
706685;
1090111;
642314;
767333;
638426;
686574;
710611;
637481;
651685;
641870;
658722;
643444;
676889;
679741;
657389;
648203;
694186;
648370;
650111;
736426;
692908;
645315;
650315;
643796;
641037;
642167;
645870;
654111;
685408;
794926;
649982;
642204;
645574;
704982;
646037;
644481;
634296;
637834;
1475464;
646778;
637908;
639500;
641055;
639630;
648871;
641389;
650445;
649315;
697611;
653019;
645315;
642222;
647556;
642593;
639519;
636685;
658981;
646667;
658056;
