String Permutations Times (ns);
242142684;
242423462;
236939013;
243222110;
242416310;
237645388;
241354685;
242192314;
247450406;
249941665;
238523795;
244121074;
251417757;
245958038;
242355258;
244559926;
251696708;
240222425;
242474572;
244250831;
236454870;
238545721;
238808091;
248843053;
244432573;
250771424;
245080649;
249554089;
243133539;
235337535;
237077945;
251308962;
245317925;
246195388;
240014851;
247395907;
245928314;
244604480;
292533632;
243025702;
302773473;
235591463;
284189928;
237257129;
229928109;
231290203;
233536204;
241878647;
243385666;
242611148;
237313258;
242341403;
248210607;
239602371;
233792851;
240516980;
240826613;
251003257;
236096423;
242509183;
248433260;
240781055;
244527204;
242356349;
242143665;
242918518;
241261333;
250156681;
246266685;
240185961;
246971295;
243386075;
246295239;
241365850;
236100314;
246984701;
236879963;
288090167;
238093370;
291874090;
241945260;
238388465;
245900983;
237849665;
242513926;
237432867;
237689960;
243637667;
244872759;
243448313;
228367276;
236807814;
236595925;
231110980;
233822537;
234560721;
232067110;
241045073;
250649053;
242673946;
