OK Endpoint Times (ns);
881638;
299830;
213868;
210404;
179961;
282571;
196368;
282756;
185479;
301219;
197275;
194535;
199275;
330163;
202294;
245368;
183239;
182405;
184665;
244794;
183294;
232405;
184868;
246663;
183775;
226275;
182906;
291941;
185294;
181498;
272719;
322367;
223756;
210775;
185553;
186738;
182961;
761972;
178516;
233312;
187702;
157054;
158776;
157516;
168498;
162239;
158628;
169572;
159202;
163609;
210775;
180309;
244900;
159458;
258510;
156940;
156866;
192013;
249140;
156199;
287288;
155755;
223937;
156107;
247623;
155199;
247363;
156458;
259381;
175699;
159607;
157033;
158940;
164514;
157052;
157089;
157736;
158274;
157885;
188606;
152421;
154885;
159829;
155089;
159551;
291252;
156163;
247827;
190366;
163033;
159014;
157144;
155404;
154940;
158052;
154663;
163033;
195458;
152866;
156996;
