OK Endpoint Times (ns);
481401;
43888;
59111;
44741;
69295;
43370;
41463;
43370;
41629;
83665;
43462;
41759;
42758;
44555;
48759;
45129;
50536;
39592;
48685;
42703;
89703;
42500;
66425;
41555;
70425;
102758;
49018;
48000;
99184;
49944;
46407;
40574;
64573;
88240;
42332;
67295;
43592;
60777;
41925;
100425;
48833;
45999;
42944;
41036;
40055;
45833;
68963;
47500;
46351;
50184;
45277;
41480;
66850;
61628;
69405;
51443;
67646;
43980;
41944;
45055;
89312;
144736;
49091;
85923;
40369;
48387;
41110;
42962;
47258;
40776;
56628;
41406;
46758;
48055;
67794;
53461;
83109;
43018;
40776;
41314;
44128;
61980;
49481;
67776;
47054;
48962;
46850;
41314;
70980;
51240;
42647;
61443;
47462;
42906;
41684;
55739;
47851;
100219;
84905;
59146;
